"category_name","category_description_name","category_description_url","category_description_extract1"
"Eritooted","Närimiskumm Watermelon suhkruvaba, ORBIT, 14 g","https://www.selver.ee/narimiskumm-watermelon-suhkruvaba-orbit-14-g","0,55 €"
"Eritooted","Mahe Mungoa idud, RÜÜTS, 140 g","https://www.selver.ee/oko-mungoa-idud-125-g","1,99 €"
"Eritooted","Praetud Vegan Tseburekid 2tk, UVIC, 170 g","https://www.selver.ee/praetud-vegan-tseburekid-2tk-uvic-170-g","1,99 €"
"Eritooted","Gluteeni- ja laktoosivabad koogikesed, REVAL KONDIITER, 170 g","https://www.selver.ee/gluteeni-ja-laktoosivabad-koogikesed-reval-kondiiter-170-g","3,39 €"
"Eritooted","Aptamil Kinder-Milch 12+, APTAMIL, 200 g","https://www.selver.ee/aptamil-kinder-milch-12-aptamil-200-g","1,79 €"
"Eritooted","Pastillid Spearmint Mints, ORBIT, 28 g","https://www.selver.ee/pastillid-spearmint-mints-orbit-28-g","0,69 €"
"Eritooted","Mahe Idusalat (Lutserni, Mungoa- ja Läätse idud), RÜÜTS, 140 g","https://www.selver.ee/oko-idusalat-lutserni-mungoa-ja-laatse-idud-125-g","1,99 €"
"Eritooted","Mahedamaitseline ketšup, HELLMANN'S, 485 g","https://www.selver.ee/mahedamaitseline-ketsup-hellmann-s-485-g","1,89 €"
"Eritooted","Mandlijook, magustamata, röstimata mandlitega, ALPRO, 1 l","https://www.selver.ee/mandlijook-magustamata-rostimata-mandlitega-alpro-1-l","2,99 €"
"Eritooted","Metsamarjamaitseline kontsentraat(suhkruvaba), MIKAADO, 500 ml","https://www.selver.ee/metsamarjamaitseline-kontsentraat-suhkruvaba-mikaado-500-ml","1,09 €"
"Eritooted","Mahe Mungoa-Redise idusalat, RÜÜTS, 140 g","https://www.selver.ee/oko-mungoa-redise-idusalat-125-g","1,99 €"
"Eritooted","Teravamaitseline ketšup, HELLMANN'S, 470 g","https://www.selver.ee/teravamaitseline-ketsup-hellmann-s-470-g","1,79 €"
"Eritooted","Kookosjook šokolaadimaitseline, ALPRO, 1 l","https://www.selver.ee/kookosjook-sokolaadimaitseline-alpro-1-l","2,99 €"
"Eritooted","Piparmündi-Stracciatella, MAHE, LA MUU, 400 g","https://www.selver.ee/piparmundi-stracciatella-oko-la-muu-400-g","6,59 €"
"Eritooted","Närimiskumm Eucalyptus suhkruvaba, ORBIT, 14 g","https://www.selver.ee/narimiskumm-eucalyptus-suhkruvaba-orbit-14-g","0,55 €"
"Eritooted","Mahe Lutserni idud, RÜÜTS, 100 g","https://www.selver.ee/oko-lutserni-idud-100-g","1,99 €"
"Eritooted","Vöner, viilutatud, VÖNER, 200 g","https://www.selver.ee/voner-viilutatud-voner-200-g","4,19 €"
"Eritooted","Ahjuõunakook laktoosivaba, EUROPAGAR, 350 g","https://www.selver.ee/ahjuounakook-laktoosivaba-europagar-350-g","2,99 €"
"Eritooted","Gluteenivaba pähklibatoon pähkli ja pistaatsiapähkli, EMCO, 35 g","https://www.selver.ee/gluteenivaba-pahklibatoon-pahkli-ja-pistaatsiapahkli-emco-35-g","0,69 €"
"Eritooted","Närimiskumm Sweet Mint suhkruvaba, ORBIT, 14 g","https://www.selver.ee/narimiskumm-sweet-mint-suhkruvaba-orbit-14-g","0,55 €"
"Eritooted","Mahe täistera kiirkaerahelbed, TARTU MILL,","https://www.selver.ee/oko-taistera-kiirkaerahelbed-tartu-mill","1,39 €"
"Eritooted","Kuivatatud viigimarjad, SEEBERGER, 200 g","https://www.selver.ee/kuivatatud-viigimarjad-seeberger-200-g","4,39 €"
"Eritooted","Punase apelsini sorbett, Mahe, LA MUU, 400 g","https://www.selver.ee/punase-apelsini-sorbett-oko-la-muu-400-g","6,59 €"
"Eritooted","Närimiskumm Spearmint suhkruvaba, ORBIT, 14 g","https://www.selver.ee/narimiskumm-spearmint-suhkruvaba-orbit-14-g","0,55 €"
"Eritooted","Öko täistera röstitud kiirtatrahelbed, TARTU MILL, 500 g","https://www.selver.ee/oko-taistera-rostitud-kiirtatrahelbed-tartu-mill-500-g","2,99 €"
"Eritooted","Mustsõstra-pavlova rullkook, GOURMET CLUB, 540 g","https://www.selver.ee/mustsostra-pavlova-rullkook-gourmet-club-540-g","9,19 €"
"Eritooted","Krõpsud balsamico äädikaga, LORENZ, 100 g","https://www.selver.ee/kropsud-balsamico-aadikaga-lorenz-100-g","1,49 €"
"Eritooted","Närimiskumm Winterfresh suhkruvaba, ORBIT, 14 g","https://www.selver.ee/narimiskumm-winterfresh-suhkruvaba-orbit-14-g","0,55 €"
"Eritooted","Kaerajook gluteenivaba UHT, VALIO ODDLYGOOD, 1 l","https://www.selver.ee/kaerajook-gluteenivaba-uht-valio-oddlygood-1-l","2,29 €"
"Eritooted","Viigipuu marjade moos, ST.DALFOUR, 284 g","https://www.selver.ee/viigipuu-marjade-moos-st-dalfour-284-g","3,29 €"
"Eritooted","Falafel, MARTA KULINAARIA, 350 g","https://www.selver.ee/falafel-marta-kulinaaria-410-g","3,99 €"
"Eritooted","Kohvijook Frezza Caramel Popcorn, PAULIG, 250 ml","https://www.selver.ee/kohvijook-frezza-caramel-popcorn-paulig-250-ml","1,99 €"
"Eritooted","Ingveri-apelsinimoos, ST.DALFOUR, 284 g","https://www.selver.ee/ingveri-apelsinimoos-st-dalfour-284-g","3,29 €"
"Eritooted","Ökoloogiline roosuhkur, DAN SUKKER, 750 g","https://www.selver.ee/okoloogiline-roosuhkur-dan-sukker-750-g","2,19 €"
"Eritooted","Oa-peedikotlet, MARTA KULINAARIA, 400 g","https://www.selver.ee/oa-peedikotlet-marta-kulinaaria-400-g","4,29 €"
"Eritooted","Piim kõrgpastöriseeritud, MLEKOVITA, 500 g","https://www.selver.ee/piim-korgpastoriseeritud-mlekovita-500-g","0,89 €"
"Eritooted","Gluteenivabad lasanjeplaadid, SEMPER, 250 g","https://www.selver.ee/gluteenivabad-lasanjeplaadid-semper-250-g","3,99 €"
"Eritooted","Banaani-piimapuder täisterahelve, HOLLE, 250 g","https://www.selver.ee/banaani-piimapuder-taisterahelve-holle-250-g","3,99 €"
"Eritooted","Kikerherne-kapsakotletid, MARTA KULINAARIA, 400 g","https://www.selver.ee/kikerherne-kapsakotletid-marta-kulinaaria-400-g","3,49 €"
"Eritooted","Sojaoad, DIAMOND, 500 g","https://www.selver.ee/sojaoad-diamond-500-g","2,59 €"
"Eritooted","Gluteenivaba küpsetiste pulber, DR.SCHÄR, 1 kg","https://www.selver.ee/gluteenivaba-kupsetiste-pulber-dr-schar-1-kg","4,99 €"
"Eritooted","Kõrvitsaseemned ÖKO, KOMMI ASEMEL, 140 g","https://www.selver.ee/korvitsaseemned-oko-kommi-asemel-140-g","1,99 €"
"Eritooted","Veisesink Fitlap, NÕO LIHAVÜRST, 105 g","https://www.selver.ee/veisesink-fitlap-noo-lihavurst-105-g","1,99 €"
"Eritooted","Kikernerne ja maisi gluteenivaba pasta fusilli, BONDUELLE, 250 g","https://www.selver.ee/kikernerne-ja-maisi-gluteenivaba-pasta-fusilli-bonduelle-250-g","3,49 €"
"Eritooted","Banaanilaastud ÖKO, KOMMI ASEMEL, 100 g","https://www.selver.ee/banaanilaastud-oko-kommi-asemel-100-g","0,99 €"
"Eritooted","Vegan Šokolaadikook 2 x 80g, PAGARIPOISID, 160 g","https://www.selver.ee/sokolaadi-toorkook-vegan-pagaripoisid-160-g","3,69 €"
"Eritooted","Kanasink Fitlap, NÕO LIHAVÜRST, 105 g","https://www.selver.ee/kanasink-fitlap-noo-lihavurst-105-g","1,59 €"
"Eritooted","Mix It Universal gluteenivaba jahu, SCHÄR, 500 g","https://www.selver.ee/schar-mix-it-universal-gluteenivaba-jahu-dr-schar-500-g","2,39 €"
"Eritooted","Rosinad ÖKO, KOMMI ASEMEL, 150 g","https://www.selver.ee/rosinad-oko-kommi-asemel-150-g","1,29 €"
"Eritooted","Oa-peedikotlet, MARTA KULINAARIA, 240g","https://www.selver.ee/oa-peedikotlet-marta-kulinaaria-240g","1,79 €"
"Eritooted","Gluteenivabad suured täisterakaerahelbed, ELOVENA, 500 g","https://www.selver.ee/gluteenivabad-suured-taisterakaerahelbed-elovena-500-g","2,29 €"
"Eritooted","AB-jogurt mustika Laktoosivaba, TERE, 150 g","https://www.selver.ee/ab-jogurt-mustika-laktoosivaba-tere-150-g","0,59 €"
"Eritooted","Energiajook suhkruvaba, RED BULL, 250 ml","https://www.selver.ee/energiajook-suhkruvaba-red-bull-250-ml-1","1,39 €"
"Eritooted","AB-jogurt banaani Laktoosivaba, TERE, 150 g","https://www.selver.ee/ab-jogurt-banaani-laktoosivaba-tere-150-g","0,59 €"
"Eritooted","Bolognese kaste, RAND & ROSSI, 380g","https://www.selver.ee/bolognese-kaste-rand-rossi-380g","2,69 €"
"Eritooted","Hummus, NOA, 175 g","https://www.selver.ee/hummus-noa-175-g","2,69 €"
"Eritooted","Sügavkülmutatud õuna-mustikapüree kuubikud, BABYCOOL, 200 g","https://www.selver.ee/sugavkulmutatud-ouna-mustikapuree-kuubikud-babycool-200-g","3,99 €"
"Eritooted","Kõrvitsa-brokoliroog kala-nuudli 8+, PÕNN, 190 g","https://www.selver.ee/korvitsa-brokoliroog-kala-nuudli-8-ponn-190-g","1,79 €"
"Eritooted","Arrabbiata kaste, RAND & ROSSI, 380g","https://www.selver.ee/arrabbiata-kaste-rand-rossi-380g","2,59 €"
"Eritooted","Hummus seesamiseemnete ja ürtidega, NOA, 175 g","https://www.selver.ee/hummus-seesamiseemnete-ja-urtidega-noa-175-g","2,69 €"
"Eritooted","Köögikoor 15%, FARMI, 400 g","https://www.selver.ee/koogikoor-15-farmi-400-g","0,99 €"
"Eritooted","Riisipirukas 6x67g, MOILAS, 402 g","https://www.selver.ee/riisipirukas-6x67g-moilas-402-g","3,99 €"
"Eritooted","Aedvilja-nuudliroog kalkunilihaga 8+, PÕNN, 190 g","https://www.selver.ee/aedvilja-nuudliroog-kalkunilihaga-8-ponn-190-g","1,49 €"
"Eritooted","Napoletana kaste, RAND & ROSSI, 380g","https://www.selver.ee/napoletana-kaste-rand-rossi-380g","2,69 €"
